gene_id,region,sequence_length,mfe,mfe_per_nucleotide
ENSCGRT00001012036,5'UTR,19,-7.016983168326551,-0.3693149035961342
ENSCGRT00001012019,5'UTR,19,-7.376900449746174,-0.38825791840769336
ENSCGRT00001012004,5'UTR,19,-8.474959390767976,-0.4460504942509461
ENSCGRT00001011997,5'UTR,19,-6.9317018196625195,-0.3648264115611852
ENSCGRT00001011986,5'UTR,19,-6.760936644045693,-0.355838770739247
ENSCGRT00001011978,5'UTR,19,-8.972060603506566,-0.47221371597402984
ENSCGRT00001011969,5'UTR,19,-7.309446757825911,-0.38470772409610055
ENSCGRT00001011718,5'UTR,19,-7.47079801978615,-0.3931998957782184
ENSCGRT00001011717,5'UTR,19,-7.5912283219293,-0.39953833273312106
ENSCGRT00001011705,5'UTR,19,-6.518218791886727,-0.3430641469414067
ENSCGRT00001011699,5'UTR,19,-6.71439579683713,-0.3533892524651121
ENSCGRT00001011692,5'UTR,19,-8.759839993871696,-0.46104421020377345
ENSCGRT00001011688,5'UTR,19,-6.93100444805151,-0.3647897077921847
ENSCGRT00001011672,5'UTR,19,-6.874460213428091,-0.36181369544358377
ENSCGRT00001011671,5'UTR,19,-9.05794154170505,-0.47673376535289735
ENSCGRT00001011669,5'UTR,19,-7.657218356915596,-0.4030114924692419
ENSCGRT00001011665,5'UTR,19,-8.952282118776568,-0.47117274309350354
ENSCGRT00001011658,5'UTR,19,-6.7677266895817,-0.3561961415569316
ENSCGRT00001011648,5'UTR,19,-7.90090339583046,-0.41583702083318214
ENSCGRT00001011644,5'UTR,19,-9.059968738443253,-0.47684045991806595
ENSCGRT00001011643,5'UTR,19,-7.441409072839047,-0.39165310909679196
ENSCGRT00001011638,5'UTR,19,-8.41115152944304,-0.44269218576016006
ENSCGRT00001011636,5'UTR,19,-7.269503545939636,-0.3826054497862966
ENSCGRT00001011633,5'UTR,19,-6.64142484341213,-0.3495486759690595
ENSCGRT00001011628,5'UTR,19,-6.577777828868253,-0.3461988330983291
ENSCGRT00001011627,5'UTR,19,-7.573654744283968,-0.3986134075938931
ENSCGRT00001011622,5'UTR,19,-8.983132740113744,-0.4727964600059865
ENSCGRT00001011734,5'UTR,19,-7.241559396339736,-0.3811347050705124
ENSCGRT00001011854,5'UTR,19,-7.298095172479978,-0.3841102722357883
ENSCGRT00001011742,5'UTR,19,-8.514149056918281,-0.4481131082588569
ENSCGRT00001011847,5'UTR,19,-7.5305786106290284,-0.3963462426646857
ENSCGRT00001011828,5'UTR,19,-6.176291377289569,-0.3250679672257668
ENSCGRT00001011824,5'UTR,19,-6.758907206597227,-0.3557319582419593
ENSCGRT00001011818,5'UTR,19,-6.520214858885368,-0.34316920309922994
ENSCGRT00001011814,5'UTR,19,-7.445308221403457,-0.3918583274422872
ENSCGRT00001011813,5'UTR,19,-9.041253674959341,-0.47585545657680745
ENSCGRT00001011809,5'UTR,19,-6.4095159414123835,-0.3373429442848623
ENSCGRT00001011806,5'UTR,19,-6.457385126188724,-0.3398623750625644
ENSCGRT00001011802,5'UTR,19,-6.687627931418192,-0.35198041744306274
ENSCGRT00001011799,5'UTR,19,-7.308249752346998,-0.38464472380773673
ENSCGRT00001011793,5'UTR,19,-8.803259428101265,-0.46332944358427713
ENSCGRT00001011792,5'UTR,19,-6.49307469728842,-0.3417407735414958
ENSCGRT00001011789,5'UTR,19,-6.991480374814232,-0.3679726513060122
ENSCGRT00001011786,5'UTR,19,-6.968559399554415,-0.36676628418707446
ENSCGRT00001011783,5'UTR,19,-6.977192415143825,-0.36722065342862237
ENSCGRT00001011764,5'UTR,19,-7.44276707182597,-0.3917245827276826
ENSCGRT00001011754,5'UTR,19,-8.330889241758914,-0.4384678548294165
ENSCGRT00001011751,5'UTR,19,-8.530552980522414,-0.4489764726590744
ENSCGRT00001011618,5'UTR,19,-8.33610219526379,-0.43874222080335734
ENSCGRT00001012101,5'UTR,19,-7.695564252424605,-0.40502969749603185
ENSCGRT00001012108,5'UTR,19,-7.806428141270983,-0.41086463901426223
ENSCGRT00001012467,5'UTR,19,-8.987806319105802,-0.4730424378476738
ENSCGRT00001012461,5'UTR,19,-7.300771941925628,-0.38425115483819094
ENSCGRT00001012460,5'UTR,19,-8.549494630415655,-0.44997340160082394
ENSCGRT00001012456,5'UTR,19,-6.992508808131597,-0.3680267793753472
ENSCGRT00001012454,5'UTR,19,-8.592233677425806,-0.45222282512767403
ENSCGRT00001012445,5'UTR,19,-9.08880726830386,-0.47835827727915053
ENSCGRT00001012444,5'UTR,19,-7.145764574912772,-0.3760928723638301
ENSCGRT00001012443,5'UTR,19,-6.4134782327872495,-0.337551485936171
ENSCGRT00001012440,5'UTR,19,-6.705086537814106,-0.3528992914639003
ENSCGRT00001012424,5'UTR,19,-6.654933724972514,-0.35025966973539546
ENSCGRT00001012413,5'UTR,19,-7.902891673920806,-0.41594166704846347
ENSCGRT00001012405,5'UTR,19,-8.24193735771451,-0.43378617672181635
ENSCGRT00001012396,5'UTR,19,-6.38507449031661,-0.3360565521219268
ENSCGRT00001012393,5'UTR,19,-7.809502209313758,-0.41102643206914513
ENSCGRT00001012379,5'UTR,19,-9.032879751962854,-0.47541472378751864
ENSCGRT00001012376,5'UTR,19,-8.020846377260499,-0.42214980932949997
ENSCGRT00001012372,5'UTR,19,-7.431217792136773,-0.3911167259019354
ENSCGRT00001012371,5'UTR,19,-7.150443233720062,-0.3763391175642138
ENSCGRT00001012366,5'UTR,19,-7.236305191486748,-0.3808581679729867
ENSCGRT00001012363,5'UTR,19,-8.499896612331892,-0.44736297959641536
ENSCGRT00001012360,5'UTR,19,-6.520812331584139,-0.34320064903074415
ENSCGRT00001012359,5'UTR,19,-7.487712044315917,-0.3940901075955746
ENSCGRT00001012473,5'UTR,19,-7.8863960809911955,-0.415073477946905
ENSCGRT00001012481,5'UTR,19,-6.8913818681701615,-0.36270430885106114
ENSCGRT00001012620,5'UTR,19,-8.147347094802779,-0.4288077418317252
ENSCGRT00001012616,5'UTR,19,-8.922825536720016,-0.46962239666947453
ENSCGRT00001012586,5'UTR,19,-7.732248627391751,-0.40696045407325004
ENSCGRT00001012583,5'UTR,19,-7.575264393289718,-0.3986981259626167
ENSCGRT00001012582,5'UTR,19,-7.734972500764056,-0.40710381582968713
ENSCGRT00001012561,5'UTR,19,-7.472947798365423,-0.3933130420192328
ENSCGRT00001012559,5'UTR,19,-7.469324548317845,-0.39312234464830764
ENSCGRT00001012554,5'UTR,19,-7.125876816010616,-0.37504614821108506
ENSCGRT00001012541,5'UTR,19,-6.992403289409872,-0.36802122575841434
ENSCGRT00001012529,5'UTR,19,-6.24843292240877,-0.32886489065309316
ENSCGRT00001012522,5'UTR,19,-6.805841673908437,-0.35820219336360193
ENSCGRT00001012519,5'UTR,19,-7.400762937733749,-0.38951383882809204
ENSCGRT00001012503,5'UTR,19,-7.787397363113324,-0.4098630191112276
ENSCGRT00001012489,5'UTR,19,-8.517261442616128,-0.4482769180324278
ENSCGRT00001012484,5'UTR,19,-8.265866470642909,-0.43504560371804785
ENSCGRT00001012475,5'UTR,19,-7.57193185674586,-0.39852272930241367
ENSCGRT00001012107,5'UTR,19,-7.174627923644397,-0.37761199598128403
ENSCGRT00001012357,5'UTR,19,-6.161746183132138,-0.32430243069116516
ENSCGRT00001012209,5'UTR,19,-6.720578652311902,-0.35371466591115275
ENSCGRT00001012195,5'UTR,19,-8.774684455597601,-0.46182549766303166
ENSCGRT00001012188,5'UTR,19,-8.225993987383807,-0.43294705196756883
ENSCGRT00001012185,5'UTR,19,-8.417248180882035,-0.44301306215168607
ENSCGRT00001012179,5'UTR,19,-8.812795844537801,-0.46383136023883165
ENSCGRT00001012175,5'UTR,19,-7.565407101571651,-0.39817932113535004
ENSCGRT00001012172,5'UTR,19,-6.765409347235903,-0.3560741761703107
ENSCGRT00001012170,5'UTR,19,-9.089821677423167,-0.47841166723279827
ENSCGRT00001012164,5'UTR,19,-7.443322089095345,-0.3917537941629129
ENSCGRT00001012156,5'UTR,19,-7.800281425386251,-0.4105411276519079
ENSCGRT00001012149,5'UTR,19,-7.748656258172571,-0.40782401358803005
ENSCGRT00001012146,5'UTR,19,-9.102774987260643,-0.4790934203821391
ENSCGRT00001012139,5'UTR,19,-6.755467898964372,-0.3555509420507564
ENSCGRT00001012138,5'UTR,19,-8.65066939606898,-0.45529838926678845
ENSCGRT00001012121,5'UTR,19,-6.199149904661548,-0.3262710476137657
ENSCGRT00001012215,5'UTR,19,-8.652023000747024,-0.4553696316182644
ENSCGRT00001012342,5'UTR,19,-8.313641942051495,-0.4375601022132366
ENSCGRT00001012339,5'UTR,19,-7.993558385025647,-0.4207135992118762
ENSCGRT00001012338,5'UTR,19,-7.113996254903466,-0.37442085552123505
ENSCGRT00001012330,5'UTR,19,-8.397588275653801,-0.44197833029756844
ENSCGRT00001012328,5'UTR,19,-7.989340892381259,-0.4204916259148031
ENSCGRT00001012322,5'UTR,19,-8.874530409910065,-0.4670805478900034
ENSCGRT00001012311,5'UTR,19,-6.544582460738201,-0.3444517084599053
ENSCGRT00001012300,5'UTR,19,-9.108063631776329,-0.47937177009349097
ENSCGRT00001012293,5'UTR,19,-6.693230659992018,-0.3522752978943167
ENSCGRT00001012282,5'UTR,19,-7.6487199704252635,-0.4025642089697507
ENSCGRT00001012280,5'UTR,19,-8.992595903291848,-0.4732945212258867
ENSCGRT00001012275,5'UTR,19,-8.074119872044687,-0.42495367747603613
ENSCGRT00001012268,5'UTR,19,-8.415408308353829,-0.44291622675546466
ENSCGRT00001012262,5'UTR,19,-6.997878181443815,-0.3683093779707271
ENSCGRT00001012261,5'UTR,19,-6.151454222692949,-0.32376074856278675
ENSCGRT00001012258,5'UTR,19,-7.143999350338639,-0.3759999658072968
ENSCGRT00001012253,5'UTR,19,-8.320286974858766,-0.4379098407820403
ENSCGRT00001012252,5'UTR,19,-8.381136516794927,-0.44111244825236456
ENSCGRT00001012247,5'UTR,19,-7.618465734393127,-0.40097188075753304
ENSCGRT00001012229,5'UTR,19,-8.724453848572544,-0.4591817815038181
ENSCGRT00001011616,5'UTR,19,-7.289743897111484,-0.3836707314269202
ENSCGRT00001011615,5'UTR,19,-6.586474922751244,-0.3466565748816444
ENSCGRT00001011611,5'UTR,19,-7.955079912983827,-0.418688416472833
ENSCGRT00001010922,5'UTR,19,-8.620163998030158,-0.45369284200158727
ENSCGRT00001010912,5'UTR,19,-8.092334101499564,-0.42591232113155597
ENSCGRT00001010907,5'UTR,19,-7.813231829011026,-0.4112227278426856
ENSCGRT00001010905,5'UTR,19,-6.136047231135719,-0.322949854270301
ENSCGRT00001010901,5'UTR,19,-6.802977512299113,-0.3580514480157428
ENSCGRT00001010899,5'UTR,19,-8.515154134394907,-0.44816600707341614
ENSCGRT00001010896,5'UTR,19,-8.321528389521122,-0.43797517839584854
ENSCGRT00001010895,5'UTR,19,-8.439453508401005,-0.4441817636000529
ENSCGRT00001010889,5'UTR,19,-6.442692218813621,-0.3390890641480853
ENSCGRT00001010883,5'UTR,19,-8.282030598340341,-0.43589634728107063
ENSCGRT00001010874,5'UTR,19,-7.857754239932212,-0.4135660126280111
ENSCGRT00001010861,5'UTR,19,-8.207070249629119,-0.4319510657699536
ENSCGRT00001010859,5'UTR,19,-6.259493755153285,-0.32944703974490974
ENSCGRT00001010856,5'UTR,19,-6.359951412440294,-0.3347342848652786
ENSCGRT00001010835,5'UTR,19,-8.834711641406264,-0.4649848232319086
ENSCGRT00001010824,5'UTR,19,-7.742608325157393,-0.4075057013240733
ENSCGRT00001010821,5'UTR,19,-7.580876308945768,-0.39899348994451406
ENSCGRT00001010818,5'UTR,19,-7.7462744351743416,-0.4076986544828601
ENSCGRT00001010817,5'UTR,19,-8.505828389726883,-0.44767517840667803
ENSCGRT00001010812,5'UTR,19,-6.115005481999664,-0.321842393789456
ENSCGRT00001010927,5'UTR,19,-8.719754056622778,-0.4589344240327778
ENSCGRT00001010930,5'UTR,19,-8.106729061727167,-0.4266699506172193
ENSCGRT00001011104,5'UTR,19,-8.489632199670273,-0.44682274735106703
ENSCGRT00001011092,5'UTR,19,-8.4234206105535,-0.4433379268712368
ENSCGRT00001011078,5'UTR,19,-8.66694742643998,-0.4561551277073674
ENSCGRT00001011066,5'UTR,19,-8.809847365578547,-0.46367617713571296
ENSCGRT00001011059,5'UTR,19,-9.033158499570341,-0.47542939471422846
ENSCGRT00001011057,5'UTR,19,-6.415902244139294,-0.33767906548101545
ENSCGRT00001011050,5'UTR,19,-8.876277421772109,-0.46717249588274257
ENSCGRT00001011037,5'UTR,19,-7.4748597271313795,-0.39341366984902
ENSCGRT00001011024,5'UTR,19,-6.407597739561615,-0.33724198629271657
ENSCGRT00001011014,5'UTR,19,-8.734577431930797,-0.45971460168056827
ENSCGRT00001011003,5'UTR,19,-6.859426395997672,-0.3610224418946143
ENSCGRT00001010987,5'UTR,19,-6.67923171776236,-0.3515385114611769
ENSCGRT00001010979,5'UTR,19,-6.372092008094748,-0.3353732635839341
ENSCGRT00001010959,5'UTR,19,-8.679325360376643,-0.45680659791456013
ENSCGRT00001010956,5'UTR,19,-7.9849683573077135,-0.42026149248987965
ENSCGRT00001010954,5'UTR,19,-7.266358939169658,-0.3824399441668241
ENSCGRT00001010952,5'UTR,19,-6.414033227573848,-0.3375806961880972
ENSCGRT00001010945,5'UTR,19,-8.461310168261974,-0.44533211411905127
ENSCGRT00001010938,5'UTR,19,-7.232449374637684,-0.38065523024408865
ENSCGRT00001010928,5'UTR,19,-8.00734092012218,-0.4214389957959042
ENSCGRT00001010809,5'UTR,19,-6.843115440138393,-0.36016397053359966
ENSCGRT00001010805,5'UTR,19,-8.849876355766794,-0.46578296609298914
ENSCGRT00001010732,5'UTR,19,-8.07514541342746,-0.4250076533382874
ENSCGRT00001010726,5'UTR,19,-7.523913438235972,-0.3959954441176827
ENSCGRT00001010717,5'UTR,19,-8.658257256295693,-0.45569775033135224
ENSCGRT00001010711,5'UTR,19,-8.15553749486304,-0.42923881551910736
ENSCGRT00001010710,5'UTR,19,-6.90146252148831,-0.3632348695520163
ENSCGRT00001010704,5'UTR,19,-6.389185113278775,-0.3362729006988829
ENSCGRT00001010701,5'UTR,19,-6.275001673472367,-0.33026324597222984
ENSCGRT00001010695,5'UTR,19,-7.63445453599622,-0.40181339663138
ENSCGRT00001010692,5'UTR,19,-8.934962286159179,-0.47026117295574626
ENSCGRT00001010688,5'UTR,19,-7.05301699949077,-0.37121142102583
ENSCGRT00001010687,5'UTR,19,-6.830261091328723,-0.3594874258594065
ENSCGRT00001010680,5'UTR,19,-6.453665013979239,-0.33966657968311786
ENSCGRT00001010668,5'UTR,19,-6.275120333974944,-0.33026949126183913
ENSCGRT00001010667,5'UTR,19,-6.390977328600975,-0.33636722782110395
ENSCGRT00001010666,5'UTR,19,-6.909368541832323,-0.3636509758859117
ENSCGRT00001010665,5'UTR,19,-7.769488723710336,-0.40892045914264924
ENSCGRT00001010741,5'UTR,19,-6.839697716021399,-0.35998409031691575
ENSCGRT00001010807,5'UTR,19,-8.470848743773471,-0.44583414440913005
ENSCGRT00001010742,5'UTR,19,-7.608761359032996,-0.40046112415963137
ENSCGRT00001010802,5'UTR,19,-7.329585502917468,-0.38576765804828783
ENSCGRT00001010800,5'UTR,19,-6.69896414519268,-0.35257706027329894
ENSCGRT00001010794,5'UTR,19,-6.253958857663222,-0.3291557293506959
ENSCGRT00001010789,5'UTR,19,-9.042766695468288,-0.475935089235173
ENSCGRT00001010787,5'UTR,19,-6.699534031971372,-0.35260705431428274
ENSCGRT00001010785,5'UTR,19,-8.797431774534193,-0.46302272497548386
ENSCGRT00001010782,5'UTR,19,-7.9824828953687526,-0.42013067870361853
ENSCGRT00001010776,5'UTR,19,-8.387073833459613,-0.44142493860313753
ENSCGRT00001010775,5'UTR,19,-7.653828855887475,-0.4028330976782882
ENSCGRT00001010771,5'UTR,19,-6.186069621006582,-0.32558261163192537
ENSCGRT00001010769,5'UTR,19,-8.418922728890601,-0.4431011962574001
ENSCGRT00001010766,5'UTR,19,-7.975573947791697,-0.41976704988377356
ENSCGRT00001010761,5'UTR,19,-7.589870662506512,-0.39946687697402694
ENSCGRT00001010755,5'UTR,19,-6.436353578195521,-0.3387554514839748
ENSCGRT00001010750,5'UTR,19,-6.5917144286121925,-0.3469323383480101
ENSCGRT00001010749,5'UTR,19,-8.31558711379199,-0.4376624796732626
ENSCGRT00001010747,5'UTR,19,-8.792588426020181,-0.462767811895799
ENSCGRT00001010746,5'UTR,19,-8.788367850938357,-0.4625456763651767
ENSCGRT00001010743,5'UTR,19,-6.469233000261832,-0.3404859473822017
ENSCGRT00001011120,5'UTR,19,-7.552970240633231,-0.39752474950701217
ENSCGRT00001011125,5'UTR,19,-6.604773081876198,-0.3476196358882209
ENSCGRT00001011514,5'UTR,19,-9.08112461672495,-0.47795392719604995
ENSCGRT00001011510,5'UTR,19,-8.343191970154844,-0.439115366850255
ENSCGRT00001011503,5'UTR,19,-6.6313697744758615,-0.34901946181451904
ENSCGRT00001011496,5'UTR,19,-7.715764468402318,-0.40609286675801676
ENSCGRT00001011495,5'UTR,19,-6.280313093386246,-0.3305427943887498
ENSCGRT00001011487,5'UTR,19,-8.43570140389343,-0.44398428441544374
ENSCGRT00001011482,5'UTR,19,-7.4606698084271255,-0.39266683202248026
ENSCGRT00001011473,5'UTR,19,-7.620796021211722,-0.40109452743219587
ENSCGRT00001011458,5'UTR,19,-6.193759494525366,-0.3259873418171245
ENSCGRT00001011450,5'UTR,19,-7.97474690539457,-0.41972352133655627
ENSCGRT00001011447,5'UTR,19,-6.38427253283062,-0.3360143438331905
ENSCGRT00001011446,5'UTR,19,-6.098351019885992,-0.3209658431518943
ENSCGRT00001011420,5'UTR,19,-8.222626175081006,-0.432769798688474
ENSCGRT00001011416,5'UTR,19,-6.1320503791249354,-0.3227394936381545
ENSCGRT00001011408,5'UTR,19,-8.456118352600763,-0.44505886066319805
ENSCGRT00001011400,5'UTR,19,-6.565422879796547,-0.34554857262087085
ENSCGRT00001011387,5'UTR,19,-7.890287364031452,-0.41527828231744485
ENSCGRT00001011373,5'UTR,19,-7.986210350046854,-0.4203268605287818
ENSCGRT00001011515,5'UTR,19,-8.023641862143718,-0.42229694011282726
ENSCGRT00001011372,5'UTR,19,-6.2045096772891215,-0.32655314090995374
ENSCGRT00001011525,5'UTR,19,-6.816535665651283,-0.3587650350342781
ENSCGRT00001011608,5'UTR,19,-6.1947445931390615,-0.3260391891125822
ENSCGRT00001011605,5'UTR,19,-9.101753173942335,-0.4790396407338071
ENSCGRT00001011604,5'UTR,19,-8.81768236393994,-0.4640885454705232
ENSCGRT00001011596,5'UTR,19,-7.769652821515495,-0.4089290958692366
ENSCGRT00001011595,5'UTR,19,-6.287365405614399,-0.3309139687165473
ENSCGRT00001011594,5'UTR,19,-8.543148318671578,-0.449639385193241
ENSCGRT00001011593,5'UTR,19,-8.99222480637023,-0.47327498980895943
ENSCGRT00001011591,5'UTR,19,-8.447376974605762,-0.4445987881371454
ENSCGRT00001011585,5'UTR,19,-8.048306634411167,-0.42359508602164037
ENSCGRT00001011572,5'UTR,19,-7.658247243536649,-0.40306564439666576
ENSCGRT00001011564,5'UTR,19,-7.485006807912508,-0.39394772673223727
ENSCGRT00001011559,5'UTR,19,-7.903483813732107,-0.41597283230168985
ENSCGRT00001011558,5'UTR,19,-8.888749237245454,-0.46782890722344495
ENSCGRT00001011548,5'UTR,19,-6.171421915028543,-0.3248116797383444
ENSCGRT00001011543,5'UTR,19,-8.216765368081282,-0.4324613351621727
ENSCGRT00001011534,5'UTR,19,-6.988487531362354,-0.3678151332295976
ENSCGRT00001011367,5'UTR,19,-8.867211106072041,-0.4666953213722127
ENSCGRT00001011362,5'UTR,19,-6.188058464716366,-0.32568728761665083
ENSCGRT00001011359,5'UTR,19,-6.401656073225276,-0.3369292670118566
ENSCGRT00001011233,5'UTR,19,-7.784843230132673,-0.4097285910596144
ENSCGRT00001011231,5'UTR,19,-7.527802007787625,-0.3962001056730329
ENSCGRT00001011228,5'UTR,19,-7.998735132410419,-0.42098605960054836
ENSCGRT00001011220,5'UTR,19,-8.458238257309985,-0.44517043459526234
ENSCGRT00001011218,5'UTR,19,-8.688144350246837,-0.4572707552761493
ENSCGRT00001011216,5'UTR,19,-8.286443667136874,-0.4361286140598355
ENSCGRT00001011207,5'UTR,19,-6.275852475706334,-0.3303080250371755
ENSCGRT00001011191,5'UTR,19,-6.477697114192719,-0.3409314270627747
ENSCGRT00001011190,5'UTR,19,-6.107442357608351,-0.32144433461096583
ENSCGRT00001011185,5'UTR,19,-8.542346125216131,-0.44959716448505954
ENSCGRT00001011180,5'UTR,19,-7.848615133602586,-0.413085007031715
ENSCGRT00001011136,5'UTR,19,-7.909523472985944,-0.41629070910452337
ENSCGRT00001011134,5'UTR,19,-8.760157092430964,-0.46106089960162966
ENSCGRT00001011131,5'UTR,19,-7.60587642899876,-0.4003092857367769
ENSCGRT00001011234,5'UTR,19,-7.488831249642324,-0.3941490131390697
ENSCGRT00001011240,5'UTR,19,-6.110350272871228,-0.32159738278269623
ENSCGRT00001011247,5'UTR,19,-8.377121024217114,-0.44090110653774284
ENSCGRT00001011351,5'UTR,19,-7.611444319829353,-0.40060233262259753
ENSCGRT00001011346,5'UTR,19,-8.69732662428591,-0.45775403285715316
ENSCGRT00001011344,5'UTR,19,-6.475332326205492,-0.34080696453713116
ENSCGRT00001011339,5'UTR,19,-7.652467977634332,-0.4027614725070701
ENSCGRT00001011338,5'UTR,19,-8.481135059855438,-0.44637552946607567
ENSCGRT00001011335,5'UTR,19,-7.24556654461199,-0.3813456076111574
ENSCGRT00001011329,5'UTR,19,-8.760223479804989,-0.46106439367394675
ENSCGRT00001011323,5'UTR,19,-6.355444148816306,-0.3344970604640161
ENSCGRT00001012626,5'UTR,19,-8.004881271924424,-0.42130954062760123
ENSCGRT00001011296,5'UTR,19,-7.116160696536928,-0.3745347735019436
ENSCGRT00001011292,5'UTR,19,-6.599269656329578,-0.34732998191208303
ENSCGRT00001011287,5'UTR,19,-7.513520706450223,-0.3954484582342223
ENSCGRT00001011282,5'UTR,19,-8.85904829952177,-0.46626569997483003
ENSCGRT00001011272,5'UTR,19,-7.9530633985913015,-0.41858228413638426
ENSCGRT00001011261,5'UTR,19,-7.31636980836361,-0.3850720951770321
ENSCGRT00001011248,5'UTR,19,-9.104528664798353,-0.4791857191999133
ENSCGRT00001011311,5'UTR,19,-7.985019545935397,-0.42026418662817877
ENSCGRT00001010662,5'UTR,19,-7.967113151766992,-0.4193217448298417
ENSCGRT00001012645,5'UTR,19,-7.944038417477834,-0.4181072851304123
ENSCGRT00001014187,5'UTR,19,-8.809129870948219,-0.46363841426043256
ENSCGRT00001014179,5'UTR,19,-8.392152262107933,-0.44169222432147015
ENSCGRT00001014174,5'UTR,19,-6.093622571576548,-0.32071697745139727
ENSCGRT00001014172,5'UTR,19,-8.83975695268188,-0.46525036593062524
ENSCGRT00001014154,5'UTR,19,-8.908837890004376,-0.46888620473707243
ENSCGRT00001014152,5'UTR,19,-8.742688525751163,-0.46014150135532433
ENSCGRT00001014150,5'UTR,19,-6.202605145106977,-0.32645290237405145
ENSCGRT00001014134,5'UTR,19,-8.56958300647558,-0.4510306845513464
ENSCGRT00001014074,5'UTR,19,-7.4015092716091,-0.3895531195583737
ENSCGRT00001014050,5'UTR,19,-7.6074689355552785,-0.4003931018713304
ENSCGRT00001014374,5'UTR,19,-6.497015454641889,-0.3419481818232573
ENSCGRT00001014373,5'UTR,19,-7.835007237327087,-0.41236880196458353
ENSCGRT00001014372,5'UTR,19,-7.167112104107394,-0.37721642653196813
ENSCGRT00001014358,5'UTR,19,-7.819918286547526,-0.41157464666039606
ENSCGRT00001014334,5'UTR,19,-7.307998711580267,-0.3846315111358035
ENSCGRT00001014304,5'UTR,19,-6.326606990342772,-0.33297931528119856
ENSCGRT00001014277,5'UTR,19,-6.465702128671261,-0.3403001120353295
ENSCGRT00001014275,5'UTR,19,-7.34399542918291,-0.38652607522015314
ENSCGRT00001014272,5'UTR,19,-6.211521152626372,-0.3269221659277038
ENSCGRT00001014237,5'UTR,19,-9.03654627103389,-0.4756076984754679
ENSCGRT00001014232,5'UTR,19,-6.815591633914714,-0.358715349153406
ENSCGRT00001014019,5'UTR,19,-7.828370403035018,-0.4120194948965799
ENSCGRT00001013819,5'UTR,19,-7.827768038646727,-0.4119877915077225
ENSCGRT00001013801,5'UTR,19,-7.443962543069475,-0.39178750226681447
ENSCGRT00001013796,5'UTR,19,-8.372698805364227,-0.44066835817706457
ENSCGRT00001013788,5'UTR,19,-8.720926015117954,-0.45899610605883967
ENSCGRT00001013787,5'UTR,19,-8.711587992127841,-0.4585046311646232
ENSCGRT00001013786,5'UTR,19,-6.81603636719013,-0.3587387561679016
ENSCGRT00001013784,5'UTR,19,-8.095309545623316,-0.4260689234538587
ENSCGRT00001013782,5'UTR,19,-6.796132531449165,-0.3576911858657455
ENSCGRT00001013775,5'UTR,19,-7.713488243901721,-0.40597306546851164
ENSCGRT00001013754,5'UTR,19,-7.360726927694468,-0.387406680404972
ENSCGRT00001013745,5'UTR,19,-7.048231960022673,-0.3709595768432986
ENSCGRT00001013741,5'UTR,19,-7.0843912774324584,-0.37286269881223466
ENSCGRT00001013739,5'UTR,19,-7.517659454859056,-0.39566628709784507
ENSCGRT00001013735,5'UTR,19,-6.083093745798053,-0.3201628287262133
ENSCGRT00001013725,5'UTR,19,-8.030196213193872,-0.4226419059575722
